GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ada,com.ada.model.infrastructure.out,LiteLlmClient,145,0,18,0,24,0,13,0,4,0
ada,com.ada.model.infrastructure.out,DefaultModelSelectionStrategy,19,0,2,0,5,0,4,0,3,0
ada,com.ada.model.infrastructure.out,RequestedModelSelectionStrategy,21,0,4,0,3,0,5,0,3,0
ada,com.ada.conversation.application.dto,LlmTool,0,12,0,0,0,1,0,1,0,1
ada,com.ada.conversation.application.dto,MessageExecutionState.InvokingTool,11,0,0,0,3,0,3,0,3,0
ada,com.ada.conversation.application.dto,MessageExecutionState.Received,7,0,0,0,3,0,3,0,3,0
ada,com.ada.conversation.application.dto,TokenUsageComponent,12,0,0,0,1,0,1,0,1,0
ada,com.ada.conversation.application.dto,ContextState,20,0,0,0,6,0,2,0,2,0
ada,com.ada.conversation.application.dto,ChatRequest,0,9,0,0,0,1,0,1,0,1
ada,com.ada.conversation.application.dto,LlmToolCall,12,0,0,0,1,0,1,0,1,0
ada,com.ada.conversation.application.dto,MessageExecutionState.FilteringCommand,7,0,0,0,3,0,3,0,3,0
ada,com.ada.conversation.application.dto,LlmCompletion,29,0,0,0,5,0,2,0,2,0
ada,com.ada.conversation.application.dto,MessageExecutionState.Completed,7,0,0,0,3,0,3,0,3,0
ada,com.ada.conversation.application.dto,ToolExecutionResult,12,0,0,0,1,0,1,0,1,0
ada,com.ada.conversation.application.dto,MessageExecutionState.InvokingModel,11,0,0,0,3,0,3,0,3,0
ada,com.ada.conversation.application.dto,ChatResult,18,0,0,0,1,0,1,0,1,0
ada,com.ada.conversation.application.dto,LlmRequest,0,36,0,0,0,6,0,2,0,2
ada,com.ada.conversation.application.dto,LlmMessageRole,0,31,0,0,0,6,0,2,0,2
ada,com.ada.conversation.application.dto,MessageExecutionState.CreatingContext,7,0,0,0,3,0,3,0,3,0
ada,com.ada.conversation.application.dto,ModelSelection,6,0,0,0,1,0,1,0,1,0
ada,com.ada.conversation.application.dto,LlmContentComponent,0,45,0,0,0,8,0,1,0,1
ada,com.ada.conversation.application.dto,LlmMessage,10,31,1,1,2,5,2,2,1,2
ada,com.ada.conversation.application.dto,MessageExecutionState.Failed,11,0,0,0,3,0,3,0,3,0
ada,com.ada.conversation.application.dto,LlmRequestMetadata,0,28,0,0,0,6,0,2,0,2
ada,com.ada.conversation.application.dto,TokenUsageSource,15,0,0,0,3,0,1,0,1,0
ada,com.ada.shared.infrastructure,DataDirectoryInitializer,36,0,2,0,7,0,4,0,3,0
